Unnamed: 0,공기청정기_효용_상태,역명,설치대수,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,오염_등급,오염_점수,공기청정기_군집
0,적합,서울,16,86.9,676.0,25.7,0.6,137657.0,2,73.31352098594527,2
1,적합,시청,24,102.0,535.0,33.7,0.5,58210.0,3,70.15349060775605,2
2,심각한 과잉,종각,16,79.4,562.0,35.0,0.6,85411.0,1,60.77737478610294,4
3,심각한 과잉,동대문,16,89.4,566.0,28.5,0.7,62261.0,2,63.21658956759147,4
4,적합,동묘앞,26,93.6,606.0,32.0,0.5,40550.0,2,62.39714214300821,2
5,심각한 과잉,신설동,22,97.1,564.0,44.5,0.4,30975.0,2,63.024376766453244,4
6,심각한 과잉,제기동,20,98.7,518.0,12.0,0.5,28119.0,2,63.545085078156546,4
7,심각한 과잉,청량리,14,89.5,503.0,32.5,0.6,78953.0,2,65.84404645171213,4
9,심각한 과잉,을지로입구,16,89.1,549.0,34.0,0.5,77013.0,2,65.30564803599238,4
10,부족,동대문역사문화공원,14,77.2,622.0,13.9,0.7,74147.0,1,57.724818211532174,1
11,심각한 부족,신당,14,68.7,526.0,21.7,0.5,30617.0,0,45.92931149179981,0
12,과잉,상왕십리,14,82.8,465.0,31.0,0.8,15563.0,1,52.07380131126108,3
13,심각한 과잉,왕십리,18,87.1,489.0,27.0,0.7,58964.0,2,61.329466074484245,4
14,적합,잠실,26,76.2,668.0,27.3,0.6,260055.0,1,85.72,2
15,심각한 과잉,잠실새내,16,88.8,447.0,31.0,0.6,43154.0,2,59.917672799984615,4
16,부족,종합운동장,28,82.2,463.0,11.3,0.5,35906.0,1,54.84283170867701,1
17,심각한 과잉,삼성,14,77.0,604.0,8.0,0.6,106691.0,1,62.61052854203918,4
18,부족,선릉,16,82.0,667.0,12.5,0.6,35697.0,1,54.69068466285977,1
19,부족,역삼,14,87.7,584.0,32.5,0.6,26963.0,2,56.76727653765549,1
20,적합,강남,20,91.7,685.0,34.0,0.7,113425.0,2,72.4663094345427,2
21,심각한 과잉,교대,20,92.9,602.0,29.0,0.8,34157.0,2,60.993811693680186,4
22,심각한 과잉,서초,16,92.4,538.0,19.5,0.7,36228.0,2,61.01235969314184,4
23,부족,방배,14,89.4,507.0,27.5,0.6,18955.0,2,56.555537097921594,1
24,적합,사당,30,92.4,496.0,36.3,0.5,89078.0,2,69.14140931725981,2
25,심각한 과잉,낙성대,14,98.8,517.0,35.0,0.5,35824.0,2,64.79021899213627,4
26,심각한 과잉,서울대입구,14,91.7,530.0,15.0,0.5,64303.0,2,64.91067697217896,4
27,심각한 과잉,봉천,14,91.0,443.0,20.5,0.5,27782.0,2,58.87324988944646,4
28,적합,신림,18,100.3,508.0,18.0,0.5,99503.0,3,75.48491626771259,2
29,적합,신도림,40,85.9,531.0,19.0,0.8,87422.0,2,64.98669396858357,2
30,부족,문래,16,89.1,475.0,25.0,0.6,16138.0,2,55.942244140662545,1
31,부족,영등포구청,16,86.5,516.0,15.0,0.6,20695.0,2,55.083172790371265,1
32,적합,합정,26,89.8,565.0,21.0,0.7,74347.0,2,65.31558093480226,2
33,적합,홍대입구,14,84.3,658.0,23.0,0.8,200393.0,1,81.40317202130319,2
34,심각한 과잉,신촌,14,81.6,589.0,35.0,0.9,80303.0,1,61.311694833785154,4
35,부족,이대,14,81.3,453.0,18.0,0.5,28692.0,1,53.193220280325306,1
36,부족,아현,14,90.3,451.0,30.0,0.4,12667.0,2,56.12835707831036,1
37,부족,충정로,16,88.7,486.0,26.3,0.5,13808.0,2,55.34385841456615,1
38,과잉,용두,20,84.5,421.0,19.5,0.4,2827.0,1,51.13483109342254,3
40,과잉,도림천,14,87.0,418.0,24.5,0.4,891.0,2,52.33704793216819,3
41,부족,양천구청,18,89.6,450.0,22.5,0.5,7620.0,2,54.93205975658995,1
42,부족,신정네거리,14,90.7,467.0,29.5,0.9,11864.0,2,56.244844744381,1
43,부족,구파발,14,89.1,584.0,29.5,0.4,26592.0,2,57.550211685989495,1
44,심각한 과잉,연신내,14,96.7,593.0,18.0,0.4,56779.0,2,66.75338332275865,4
45,심각한 과잉,불광,14,90.4,656.0,46.0,0.7,36038.0,2,59.78313510603526,4
46,부족,녹번,14,89.4,442.0,7.5,0.6,24565.0,2,57.41843148564727,1
47,심각한 과잉,홍제,14,92.9,482.0,10.7,0.6,37402.0,2,61.49293687873719,4
48,심각한 과잉,무악재,14,96.4,618.0,43.5,0.7,4763.0,2,58.5726142546769,4
49,심각한 과잉,독립문,14,95.0,562.0,46.5,0.5,10969.0,2,58.6871815577474,4
50,부족,경복궁,18,85.7,605.0,57.0,0.6,33356.0,2,56.550606986983524,1
51,부족,안국,16,79.6,574.0,11.8,0.6,45718.0,1,54.79205091230701,1
52,심각한 과잉,충무로,24,96.2,683.0,35.0,0.5,29264.0,2,62.22120166887774,4
53,부족,동대입구,14,89.5,609.0,15.0,0.5,18414.0,2,56.53232393147603,1
54,과잉,약수,14,81.3,500.0,21.5,0.9,20566.0,1,51.94333083386206,3
55,심각한 부족,금호,14,72.6,436.0,8.6,0.6,16913.0,1,46.1614496933341,0
56,심각한 부족,압구정,14,65.5,616.0,28.0,0.8,36028.0,0,44.84159696987176,0
57,심각한 과잉,신사,14,80.5,525.0,7.2,0.8,73016.0,1,59.53085501143988,4
58,심각한 부족,잠원,14,65.9,398.0,5.5,0.6,12181.0,0,41.41360366076407,0
59,적합,고속터미널,24,77.4,923.0,21.0,0.8,162039.0,1,71.36380457980043,2
61,과잉,남부터미널,14,76.2,655.0,19.0,0.7,40412.0,1,51.935915863951855,3
62,심각한 과잉,양재,14,78.9,485.0,4.5,0.9,74210.0,1,58.75450846936225,4
63,부족,매봉,16,86.4,422.0,6.7,0.5,20523.0,2,54.99671684835901,1
64,적합,도곡,22,108.0,471.0,7.6,0.4,23077.0,3,68.34955682451789,2
65,부족,대치,16,81.0,427.0,7.3,0.4,24914.0,1,52.43211243775355,1
66,심각한 부족,학여울,18,75.5,558.0,22.0,0.7,1742.0,1,45.56794331968237,0
67,과잉,대청,16,77.7,396.0,10.9,0.4,18636.0,1,49.48647055430582,3
68,부족,일원,16,90.4,412.0,6.9,0.5,18858.0,2,57.14061717713561,1
69,심각한 과잉,수서,18,83.6,626.0,3.3,0.6,61808.0,1,59.666911999384745,4
70,과잉,가락시장,22,76.2,597.0,31.3,0.6,20740.0,1,48.91009440310703,3
71,과잉,경찰병원,16,82.2,575.0,12.5,0.8,7070.0,1,50.40746226759724,3
72,과잉,오금,14,82.0,545.0,19.5,0.8,10160.0,1,50.76274634211993,3
73,심각한 과잉,쌍문,14,85.1,522.0,6.1,0.8,63168.0,2,60.776098517621264,4
74,심각한 과잉,수유,16,77.7,481.0,5.2,0.6,81545.0,1,59.16273134529234,4
75,부족,미아,14,83.4,417.0,7.4,0.6,34117.0,1,55.28765914902617,1
76,심각한 과잉,미아사거리,16,90.0,548.0,30.0,0.8,42090.0,2,60.47401511218781,4
77,부족,길음,14,81.0,467.0,28.1,0.6,42419.0,1,55.124619791967085,1
78,심각한 과잉,성신여대입구,16,93.1,620.0,51.0,0.8,38177.0,2,61.73214243140873,4
79,심각한 과잉,한성대입구,14,102.6,563.0,28.0,0.8,19742.0,3,64.59658841398934,4
80,심각한 과잉,혜화,14,88.8,586.0,6.8,0.6,88496.0,2,66.89188979254388,4
84,적합,명동,18,94.8,658.0,15.2,1.0,100234.0,2,72.29735402126474,2
85,심각한 과잉,회현,16,89.4,433.0,15.5,0.9,58180.0,2,62.58887619926554,4
87,부족,숙대입구,14,88.0,601.0,22.0,0.7,19748.0,2,55.83751129568745,1
88,부족,삼각지,16,93.0,644.0,26.5,0.6,14676.0,2,58.05736863355828,1
89,부족,신용산,14,91.1,587.0,38.5,0.6,17096.0,2,57.28959758512622,1
90,부족,이촌,14,84.2,429.0,8.9,0.9,30960.0,1,55.282069562207994,1
91,심각한 과잉,총신대입구,16,97.8,650.0,12.5,0.6,28495.0,2,63.06291899790428,4
93,부족,남태령,14,92.6,572.0,42.0,0.6,1787.0,2,55.834864932418135,1
94,심각한 부족,방화,16,71.7,424.0,28.0,1.7,8854.0,1,44.38186575916633,0
95,심각한 부족,개화산,14,67.0,483.0,30.5,1.3,6849.0,0,41.2534694583838,0
96,과잉,김포공항,18,68.7,538.0,30.0,0.5,46502.0,0,48.37264078752572,3
97,심각한 부족,송정,14,69.0,551.0,29.0,1.4,12585.0,0,43.33574436176963,0
98,과잉,마곡,14,82.0,538.0,30.5,1.5,5816.0,1,50.09457999269385,3
99,심각한 과잉,발산,16,96.8,440.0,35.5,1.3,17059.0,2,60.703906481321255,4
100,부족,우장산,14,83.9,518.0,17.5,0.6,16837.0,1,52.92975985849148,1
101,과잉,화곡,14,72.5,418.0,28.5,0.6,34732.0,1,48.84225452308166,3
102,심각한 부족,까치산,28,54.4,621.0,35.0,0.5,38057.0,0,38.4936847974467,0
103,과잉,신정,14,79.2,577.0,29.0,0.5,14756.0,1,49.78967372286632,3
104,심각한 부족,목동,14,65.0,458.0,18.0,0.7,19338.0,0,41.97444771298379,0
105,심각한 부족,오목교,18,69.5,617.0,32.3,0.6,32363.0,0,46.67787006594759,0
106,심각한 부족,양평,14,61.0,429.0,30.5,0.7,11146.0,0,38.31440656784142,0
108,심각한 부족,영등포시장,16,72.9,529.0,29.0,0.8,11872.0,1,45.5660752533118,0
109,심각한 부족,신길,20,72.9,609.0,20.3,0.5,14978.0,1,46.043820345696105,0
110,심각한 부족,여의도,16,64.3,615.0,41.7,0.7,27342.0,0,42.78557189825229,0
111,심각한 부족,여의나루,18,71.0,496.0,36.7,0.7,15700.0,1,45.01487377670109,0
112,과잉,마포,14,75.8,548.0,22.5,0.7,11320.0,1,47.22117013708638,3
113,심각한 부족,공덕,14,67.8,598.0,24.0,0.5,33528.0,0,45.83706292899579,0
114,과잉,애오개,14,80.1,608.0,30.0,0.5,6759.0,1,49.099626232912264,3
116,과잉,서대문,14,76.1,406.0,30.5,0.6,12208.0,1,47.537756628405525,3
117,부족,광화문,14,81.2,633.0,44.0,0.9,52177.0,1,56.745533060314166,1
119,심각한 부족,청구,18,70.8,568.0,29.0,0.5,7800.0,1,43.67974620753302,0
