역명,총 승객수
가락시장,22177
가산디지털단지,37006
강남,94064
강남구청,23427
강동,20656
강동구청,11473
강일,6162
개롱,7770
개화산,7004
거여,11289
건대입구,90221
경복궁,34139
경찰병원,7337
고덕,11714
고려대,9542
고속터미널,146449
공덕,38821
공릉,15406
광나루,18517
광명사거리,32547
광화문,54973
광흥창,9152
교대,38886
구산,9154
구파발,28337
군자,34436
굽은다리,14211
금호,10285
길동,11937
길음,25820
김포공항,43504
까치산,39140
낙성대,35596
남구로,16503
남부터미널,36285
남성,13611
남태령,1517
남한산성입구,15721
내방,13826
노원,65274
녹번,17740
녹사평,8737
논현,16624
단대오거리,14767
답십리,18879
대림,53793
대청,10682
대치,18038
대흥,10621
도곡,12496
도림천,1421
독립문,10674
독바위,3725
돌곶이,11741
동대문,47352
동대문역사문화공원,62298
동대입구,15786
동묘앞,35584
둔촌동,11359
디지털미디어시티,26386
마곡,10031
마들,16277
마장,7820
마천,8834
마포,14434
마포구청,16033
망원,24205
매봉,10268
먹골,14107
면목,19932
명동,60963
명일,10969
모란,36047
목동,20204
몽촌토성,7868
무악재,5369
문래,20594
문정,12079
미사,23767
미아,20759
미아사거리,41502
반포,8154
발산,25707
방배,16730
방이,9734
방화,8337
버티고개,2653
보라매,12467
보문,11224
복정,9922
봉천,30538
봉화산,9434
불광,31940
사가정,22238
사당,91125
산성,6967
삼각지,17137
삼성,62714
상도,13275
상봉,33358
상수,19355
상왕십리,16977
상월곡,7002
상일동,16508
새절,15470
서대문,13920
서울대입구,63460
서울,129006
서초,18059
석계,28451
석촌,24512
선릉,46262
성신여대입구,37893
송정,9403
송파,11170
수락산,17847
수서,39400
수유,52003
수진,7442
숙대입구,16940
숭실대입구,13928
시청,60692
신금호,8015
신길,15493
신당,32109
신대방삼거리,18799
신도림,72891
신림,88751
신사,41337
신설동,26371
신용산,23124
신정,15431
신정네거리,13294
신촌,61267
신풍,14119
신흥,7900
쌍문,38775
아차산,22034
아현,14022
안국,37561
안암,10392
암사,22132
압구정,47873
애오개,6865
약수,21076
양재,32568
양천구청,8003
양평,11277
어린이대공원,17178
여의나루,17645
여의도,44762
역삼,31342
역촌,5456
연신내,52576
영등포구청,23167
영등포시장,14208
오금,9893
오목교,29906
온수,18490
올림픽공원,32680
왕십리,55575
용두,3370
용마산,7470
우장산,17918
월곡,13074
월드컵경기장,8436
을지로3가,34048
을지로4가,24694
을지로입구,68156
응암,23915
이대,19965
이촌,21346
이태원,23621
일원,8842
잠실,171903
잠실새내,33795
잠원,6054
장승배기,11537
장지,22264
장한평,22107
제기동,32189
종각,45389
종로3가,90875
종로5가,41467
종합운동장,26047
중계,16012
중곡,12711
중화,13529
증산,13549
창신,3666
천왕,12323
천호,55150
철산,27184
청구,8915
청담,17726
청량리,68855
총신대입구,26706
충무로,24440
충정로,12658
태릉입구,19317
하계,21652
하남검단산,10523
하남시청,10767
하남풍산,6012
학동,16048
학여울,1764
한강진,18635
한성대입구,17814
합정,75414
행당,9306
혜화,60054
홍대입구,181157
홍제,24044
화곡,36756
화랑대,10883
회현,39353
효창공원앞,10751
