,연번,호선명,역번호,역명,설치대수,제조사,모델명,적용면적,처리용량,데이터기준일자
0,1,1호선,150,서울역(1),16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
1,2,1호선,151,시청(1),24,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
2,3,1호선,152,종각,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
3,4,1호선,153,종로3가(1),24,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
4,5,1호선,154,종로5가,18,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
5,6,1호선,155,동대문(1),16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
6,7,1호선,159,동묘앞(1),26,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
7,8,1호선,156,신설동(1),22,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
8,9,1호선,157,제기동,20,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
9,10,1호선,158,청량리,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
10,11,2호선,201,시청(2),22,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
11,12,2호선,202,을지로입구,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
12,13,2호선,203,을지로3가(2),16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
13,14,2호선,204,을지로4가(2),16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
14,15,2호선,205,동대문역사문화공원(2),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
15,16,2호선,206,신당(2),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
16,17,2호선,207,상왕십리,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
17,18,2호선,208,왕십리(2),18,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
18,19,2호선,216,잠실(2),26,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
19,20,2호선,217,잠실새내,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
20,21,2호선,218,종합운동장(2),28,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
21,22,2호선,219,삼성,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
22,23,2호선,220,선릉,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
23,24,2호선,221,역삼,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
24,25,2호선,222,강남(2),20,애니텍,AIAP-S TYPE,115.7,15.0,2023-03-20
25,26,2호선,223,교대(2),20,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
26,27,2호선,224,서초,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
27,28,2호선,225,방배,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
28,29,2호선,226,사당(2),30,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
29,30,2호선,227,낙성대,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
30,31,2호선,228,서울대입구,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
31,32,2호선,229,봉천,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
32,33,2호선,230,신림,18,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
33,34,2호선,234,신도림(2),40,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
34,35,2호선,235,문래,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
35,36,2호선,236,영등포구청(2),16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
36,37,2호선,238,합정(2),26,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
37,38,2호선,239,홍대입구(2),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
38,39,2호선,240,신촌,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
39,40,2호선,241,이대,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
40,41,2호선,242,아현,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
41,42,2호선,243,충정로(2),16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
42,43,2호선,250,용두,20,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
43,44,2호선,246,신설동(2),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
44,45,2호선,247,도림천,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
45,46,2호선,248,양천구청,18,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
46,47,2호선,249,신정네거리,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
47,48,3호선,310,구파발,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
48,49,3호선,311,연신내(3),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
49,50,3호선,312,불광(3),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
50,51,3호선,313,녹번,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
51,52,3호선,314,홍제,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
52,53,3호선,315,무악재,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
53,54,3호선,316,독립문,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
54,55,3호선,317,경복궁,18,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
55,56,3호선,318,안국,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
56,57,3호선,319,종로3가(3),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
57,58,3호선,320,을지로3가(3),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
58,59,3호선,321,충무로(3),24,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
59,60,3호선,322,동대입구,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
60,61,3호선,323,약수(3),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
61,62,3호선,324,금호,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
62,63,3호선,326,압구정,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
63,64,3호선,327,신사,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
64,65,3호선,328,잠원,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
65,66,3호선,329,고속터미널(3),24,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
66,67,3호선,330,교대(3),16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
67,68,3호선,331,남부터미널,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
68,69,3호선,332,양재,14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
69,70,3호선,333,매봉,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
70,71,3호선,334,도곡,22,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
71,72,3호선,335,대치,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
72,73,3호선,336,학여울,18,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
73,74,3호선,337,대청,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
74,75,3호선,338,일원,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
75,76,3호선,339,수서(3),18,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
76,77,3호선,340,가락시장(3),22,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
77,78,3호선,341,경찰병원,16,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
78,79,3호선,342,오금(3),14,보성전자,BAS-ST9000A,197.4,25.6,2023-03-20
