호선명,역명,미세먼지_PM-10(140 ㎍/㎥ 이하),이산화탄소_CO2 (1000 ppm 이하),포름알데히드_HCHO(100 ㎍/㎥ 이하),일산화탄소_CO(9 ppm이하)
1호선,서울역,82.6,522,6.5,0.9
1호선,시청,96.3,691,5.5,0.9
1호선,종각,93.0,515,6.9,1.0
1호선,종로3가,83.9,496,7.6,1.1
1호선,종로5가,92.6,646,11.2,0.9
1호선,동대문,89.2,565,9.3,1.1
1호선,동묘앞,77.5,560,10.1,1.2
1호선,신설동,92.0,574,7.9,1.0
1호선,제기동,98.0,528,9.7,0.9
1호선,청량리,84.9,518,11.4,1.4
2호선,시청,85.9,697,9.7,1.0
2호선,을지로입구,84.1,617,9.2,1.1
2호선,을지로3가,84.1,664,12.0,1.4
2호선,을지로4가,83.7,624,6.2,1.2
2호선,동대문역사문화공원,77.6,525,8.7,1.4
2호선,신당,84.0,581,7.1,1.6
2호선,상왕십리,99.6,501,9.9,1.7
2호선,왕십리,66.1,536,12.2,1.2
2호선,잠실,79.3,707,16.4,1.2
2호선,잠실새내,84.4,512,12.4,1.3
2호선,종합운동장,77.3,462,4.9,0.9
2호선,삼성,74.3,600,7.3,1.2
2호선,선릉,87.1,729,8.5,1.2
2호선,역삼,87.8,589,8.7,1.5
2호선,강남,86.7,783,17.2,1.5
2호선,교대,93.8,660,10.0,1.6
2호선,서초,87.2,510,7.3,1.0
2호선,방배,78.7,508,8.4,1.3
2호선,사당,92.0,588,8.0,1.1
2호선,낙성대,85.6,532,10.9,1.0
2호선,서울대입구,72.6,478,9.5,0.9
2호선,봉천,85.0,489,10.0,1.0
2호선,신림,86.0,537,3.4,1.0
2호선,신도림,78.7,498,3.2,0.7
2호선,문래,87.7,471,2.2,0.9
2호선,도림천,84.5,456,2.7,0.9
2호선,양천구청,75.7,405,5.4,0.8
2호선,신정네거리,80.0,489,5.3,1.0
2호선,영등포구청,87.7,484,3.8,0.9
2호선,합정,79.0,560,6.6,0.9
2호선,홍대입구,86.3,839,13.7,1.1
2호선,신촌,84.9,522,7.4,1.1
2호선,이대,83.0,466,6.7,1.1
2호선,아현,84.3,492,6.7,1.3
2호선,충정로,86.0,461,4.8,1.0
2호선,신설동,95.7,396,1.7,1.0
2호선,용두,87.1,839,0.0,1.1
3호선,구파발,90.8,452,7.3,0.6
3호선,연신내,87.9,546,11.8,0.6
3호선,불광,77.6,523,6.8,0.6
3호선,녹번,89.4,442,7.5,0.6
3호선,홍제,92.9,482,10.7,0.6
3호선,무악재,91.1,423,11.0,0.5
3호선,독립문,89.6,461,13.7,0.7
3호선,경복궁,87.6,498,15.0,0.6
3호선,종로3가,75.5,537,16.1,0.8
3호선,안국,79.6,574,11.8,0.6
3호선,을지로3가,93.4,505,7.1,0.5
3호선,오금,80.6,508,6.7,0.6
3호선,경찰병원,75.0,458,8.9,0.6
3호선,가락시장,76.9,444,6.3,0.4
3호선,수서,83.6,626,3.3,0.6
3호선,일원,90.4,412,6.9,0.5
3호선,대청,77.7,396,10.9,0.4
3호선,학여울,82.2,396,8.9,0.6
3호선,대치,81.0,427,7.3,0.4
3호선,도곡,108.0,471,7.6,0.4
3호선,매봉,86.4,422,6.7,0.5
3호선,양재,78.9,485,4.5,0.9
3호선,남부터미널,63.1,465,4.7,0.6
3호선,교대,76.8,705,10.7,0.9
3호선,고속터미널,89.9,724,10.4,0.9
3호선,잠원,65.9,398,5.5,0.6
3호선,신사,80.5,525,7.2,0.8
3호선,압구정,69.5,534,7.0,0.8
3호선,금호,72.6,436,8.6,0.6
3호선,약수,78.2,506,9.8,0.8
3호선,동대입구,78.2,436,11.8,0.8
3호선,충무로,86.3,459,10.5,1.1
4호선,쌍문,85.1,522,6.1,0.8
4호선,수유,77.7,481,5.2,0.6
4호선,미아,83.4,417,7.4,0.6
4호선,미아사거리,83.1,563,25.9,0.7
4호선,길음,81.0,467,28.1,0.6
4호선,성신여대입구,71.8,516,5.5,0.6
4호선,한성대입구,76.7,460,13.1,0.6
4호선,혜화,88.8,586,6.8,0.6
4호선,동대문역사문화공원,94.7,523,21.9,0.5
4호선,동대문,93.2,429,16.0,0.6
4호선,충무로,86.6,533,22.8,0.6
4호선,명동,94.8,658,15.2,1.0
4호선,회현,89.4,433,15.5,0.9
4호선,서울역,101.7,540,14.7,1.0
4호선,숙대입구,92.5,432,12.0,0.9
4호선,삼각지,86.0,488,7.8,1.0
4호선,신용산,83.7,432,10.0,1.3
4호선,이촌,84.2,429,8.9,0.9
4호선,총신대입구,96.8,547,9.2,1.1
4호선,사당,89.9,585,9.8,1.0
4호선,남태령,91.4,448,4.9,0.8
5호선,방화,69.5,525,7.7,1.0
5호선,개화산,60.2,528,8.2,1.2
5호선,김포공항,78.5,576,9.6,1.3
5호선,송정,65.0,518,6.2,1.4
5호선,마곡,76.4,506,9.3,1.2
5호선,발산,85.3,522,6.1,1.3
5호선,우장산,76.3,533,8.1,0.9
5호선,화곡,70.3,499,7.2,1.1
5호선,까치산,69.1,552,7.0,1.3
5호선,신정,68.9,534,5.9,1.3
5호선,목동,63.9,504,5.3,1.1
5호선,오목교,66.9,625,7.0,1.3
5호선,양평,69.2,481,4.9,1.1
5호선,영등포구청,74.8,622,6.2,1.5
5호선,영등포시장,73.1,536,5.7,1.4
5호선,신길,82.9,660,6.9,1.3
