연번,호선,역명,미세먼지,이산화탄소,포름알데히드,일산화탄소,이산화질소,휘발성유기화합물,라돈
3,1,종각,99.8,687,20.5,0.9,0.033,60.7,22.5
5,1,종로5가,99.4,532,16.4,1.1,0.033,27.4,23.3
7,1,동묘앞,87.4,567,15.9,1.1,0.04,14.8,37.0
9,1,제기동,97.8,497,13.7,0.8,0.027,40.0,14.5
10,1,청량리,91.5,550,14.4,0.7,0.031,9.8,14.5
12,2,을지로입구,81.2,559,9.9,1.0,0.022,30.3,25.0
14,2,을지로4가,67.0,626,9.6,0.8,0.035,215.8,21.0
16,2,신당,95.8,563,7.5,1.1,0.037,42.3,25.0
17,2,상왕십리,82.0,477,10.6,0.8,0.019,20.6,25.0
18,2,왕십리,85.9,562,16.0,0.6,0.017,34.6,30.0
19,2,잠실,88.5,667,15.8,0.8,0.018,36.0,25.7
21,2,종합운동장,97.0,453,13.2,0.5,0.027,11.5,36.0
22,2,삼성,92.2,520,17.2,0.5,0.036,24.0,26.5
23,2,선릉,92.9,580,16.5,1.0,0.032,62.1,53.0
24,2,역삼,81.6,584,18.0,1.1,0.027,52.8,26.5
25,2,강남,78.2,736,24.3,1.0,0.035,64.0,26.5
27,2,서초,92.8,479,14.9,0.5,0.023,8.8,25.5
28,2,방배,93.3,513,15.3,0.6,0.025,21.3,24.5
30,2,낙성대,89.9,492,7.6,1.1,0.023,13.6,39.0
31,2,서울대입구,86.5,481,7.2,1.0,0.033,11.4,26.0
32,2,봉천,81.4,447,6.8,1.0,0.031,18.5,21.0
33,2,신림,93.0,571,5.5,0.9,0.034,52.3,31.0
34,2,신도림,73.2,498,9.1,0.9,0.031,7.9,25.0
35,2,문래,86.8,460,12.5,1.0,0.031,12.6,16.0
36,2,영등포구청,96.5,520,11.6,0.7,0.025,7.3,45.0
37,2,합정,91.4,620,14.7,1.0,0.025,4.0,16.5
38,2,홍대입구,84.3,740,30.5,1.3,0.016,13.6,32.0
39,2,신촌,90.9,568,9.2,0.9,0.033,21.5,22.0
40,2,이대,88.0,595,17.2,1.1,0.025,24.8,23.0
41,2,아현,91.6,555,12.2,0.9,0.026,38.3,50.0
42,2,충정로,93.2,639,13.4,1.1,0.023,35.1,21.0
43,2,도림천,74.6,438,6.8,0.5,0.021,94.4,39.0
44,2,양천구청,72.5,424,8.8,0.8,0.038,18.1,14.5
45,2,신정네거리,101.9,463,12.0,1.1,0.037,8.1,11.0
47,2,용두,68.9,446,11.8,0.6,0.033,6.4,31.5
48,3,구파발,87.2,452,10.1,0.8,0.021,18.7,19.5
49,3,연신내,105.1,491,8.6,0.9,0.035,9.6,54.5
50,3,불광,95.2,507,11.4,0.9,0.035,14.8,44.0
51,3,녹번,84.4,518,15.7,0.8,0.029,30.1,43.0
52,3,홍제,95.9,603,12.7,1.1,0.039,76.3,52.0
53,3,무악재,101.3,483,13.9,0.8,0.025,32.0,57.5
54,3,독립문,99.0,536,13.8,0.9,0.029,23.2,18.5
55,3,경복궁,88.4,544,16.8,1.0,0.037,91.6,85.3
56,3,안국,78.4,522,24.3,1.0,0.032,59.6,46.0
60,3,동대입구,91.9,475,12.8,0.8,0.026,38.8,11.5
61,3,약수,101.5,583,8.9,0.9,0.029,8.7,14.7
62,3,금호,86.0,472,12.2,0.7,0.029,14.3,24.0
63,3,압구정,88.5,504,6.9,0.7,0.023,2.9,16.0
64,3,신사,96.2,535,7.4,0.7,0.026,1.5,16.0
65,3,잠원,74.6,435,6.1,0.8,0.022,2.7,15.3
66,3,고속터미널,79.1,684,14.6,0.9,0.021,8.7,15.0
68,3,남부터미널,85.0,487,8.9,0.9,0.033,29.4,9.5
69,3,양재,88.1,560,8.6,0.7,0.035,22.1,19.5
70,3,매봉,72.3,535,6.7,0.6,0.023,6.0,19.0
71,3,도곡,94.6,556,6.1,0.7,0.034,32.8,19.0
72,3,대치,82.0,526,9.2,0.4,0.042,123.6,16.7
73,3,학여울,73.5,447,6.6,0.5,0.024,12.9,27.0
74,3,대청,91.2,477,7.2,0.5,0.03,9.0,32.0
75,3,일원,81.4,478,5.7,0.5,0.034,35.8,25.5
76,3,수서,82.9,504,9.0,0.6,0.023,11.4,52.5
77,3,가락시장,96.3,476,10.1,0.5,0.028,37.1,49.0
78,3,경찰병원,70.7,417,11.9,0.5,0.027,12.1,34.0
79,3,오금,72.4,439,6.1,0.5,0.034,49.4,39.5
80,4,쌍문,94.0,501,5.7,0.8,0.021,13.8,12.0
81,4,수유,88.1,508,6.1,0.8,0.025,34.2,28.0
82,4,미아,86.7,492,7.2,0.6,0.032,29.1,14.5
83,4,미아사거리,88.1,441,6.0,0.5,0.032,33.9,48.5
84,4,길음,82.4,454,4.3,0.6,0.04,9.0,30.0
85,4,성신여대입구,92.6,534,11.8,0.7,0.036,30.1,73.0
86,4,한성대입구,88.7,557,16.7,0.9,0.037,9.7,20.0
87,4,혜화,92.3,550,4.4,0.6,0.037,30.8,21.5
91,4,명동,94.0,718,16.8,1.1,0.038,291.4,16.0
92,4,회현,84.8,668,16.2,1.0,0.036,16.2,25.0
94,4,숙대입구,93.0,480,15.1,0.8,0.028,27.1,17.0
95,4,삼각지,94.1,503,10.9,0.9,0.03,14.1,19.5
96,4,신용산,92.6,505,15.7,1.0,0.027,8.3,28.0
97,4,이촌,89.3,576,16.6,1.0,0.02,8.5,20.5
98,4,총신대입구,94.0,563,15.4,1.0,0.03,20.7,23.5
100,4,남태령,96.8,418,7.2,0.7,0.017,51.9,68.0
102,5,개화산,65.6,433,9.3,0.9,0.025,19.6,18.5
103,5,김포공항,74.8,556,18.4,0.9,0.028,49.0,56.3
104,5,송정,69.1,507,10.8,1.0,0.028,67.5,29.0
105,5,마곡,64.8,443,9.8,0.8,0.021,77.4,39.5
106,5,발산,76.0,464,9.9,0.9,0.02,77.3,13.0
107,5,우장산,79.4,483,13.1,1.2,0.017,31.8,26.5
108,5,화곡,78.2,523,14.6,1.1,0.016,38.4,36.5
109,5,까치산,63.3,527,9.4,1.1,0.015,53.6,32.0
110,5,신정,59.0,493,9.7,0.9,0.018,45.1,35.5
111,5,목동,71.3,497,12.1,1.1,0.017,17.9,25.5
112,5,오목교,56.3,605,35.2,1.1,0.019,331.7,28.7
113,5,양평,80.2,522,10.2,1.1,0.016,128.4,30.5
114,5,영등포구청,82.7,568,16.6,1.1,0.019,25.1,39.8
115,5,영등포시장,77.9,492,9.9,0.9,0.019,10.2,46.3
116,5,신길,70.4,558,13.6,1.0,0.02,10.2,29.7
117,5,여의도,81.3,550,9.2,0.9,0.024,22.0,34.3
118,5,여의나루,71.0,526,5.4,1.0,0.019,9.4,20.7
119,5,마포,67.6,554,9.8,1.1,0.017,8.7,31.5
120,5,공덕,83.1,557,9.7,1.1,0.02,7.7,35.3
121,5,애오개,81.0,594,14.7,1.2,0.023,13.5,22.0
122,5,충정로,75.9,622,9.5,1.2,0.02,34.3,31.0
123,5,서대문,81.0,529,14.2,1.2,0.018,102.9,27.5
124,5,광화문,80.4,516,15.6,1.1,0.023,22.1,54.7
125,5,종로3가,85.1,554,27.7,1.2,0.019,19.6,38.0
126,5,을지로4가,66.8,531,15.4,1.4,0.022,78.9,47.0
127,5,동대문역사문화공원,94.5,536,17.8,1.3,0.019,478.1,58.0
128,5,청구,78.8,504,10.0,1.3,0.018,41.5,42.5
129,5,신금호,68.5,491,13.4,1.2,0.025,47.2,48.0
130,5,행당,81.7,545,11.3,1.2,0.017,27.0,37.5
131,5,왕십리,88.0,561,15.2,1.2,0.019,62.0,38.0
132,5,마장,75.3,620,10.5,1.5,0.016,36.7,40.0
