연번,호선,역명,미세먼지,초미세먼지,이산화탄소,포름알데히드,일산화탄소
2,1,시청,45.1,28.1,456,9.4,2.1
3,1,종각,44.2,25.1,511,9.0,2.7
4,1,종로3가,61.5,32.3,457,9.0,1.1
5,1,종로5가,106.2,62.0,541,12.5,2.2
6,1,동대문,91.9,50.9,471,13.7,1.9
7,1,동묘앞,61.2,37.2,528,9.6,1.9
8,1,신설동,96.5,56.2,558,9.2,2.7
9,1,제기동,84.3,49.1,422,5.8,2.6
10,1,청량리,34.9,19.5,447,8.3,2.6
11,2,시청,83.6,53.1,514,6.2,0.4
12,2,을지로입구,41.2,31.3,535,6.5,0.6
13,2,을지로3가,63.3,42.7,455,7.6,1.0
14,2,을지로4가,60.1,48.0,566,2.4,0.6
15,2,동대문역사문화공원,51.2,36.0,464,3.2,0.6
16,2,신당,52.2,42.0,493,5.8,0.5
17,2,상왕십리,50.5,35.2,562,4.9,0.7
18,2,왕십리,45.9,39.0,602,7.5,0.7
19,2,잠실,62.4,42.2,510,7.4,0.7
20,2,잠실새내,132.5,97.1,439,5.3,0.6
21,2,종합운동장,51.4,38.3,591,3.9,0.3
22,2,삼성,59.2,47.5,582,5.4,0.9
23,2,선릉,82.8,46.2,483,5.5,0.7
24,2,역삼,57.5,40.2,534,7.4,0.7
25,2,강남,41.2,30.8,698,5.0,1.2
26,2,교대,33.4,25.8,527,7.4,1.2
27,2,서초,54.6,32.4,555,6.1,0.9
28,2,방배,38.5,25.4,483,2.8,0.6
29,2,사당,47.8,41.2,550,3.7,0.7
30,2,낙성대,98.4,67.5,590,3.9,0.8
31,2,서울대입구,65.0,39.4,471,4.1,0.7
32,2,봉천,55.4,40.0,497,3.6,0.9
33,2,신림,82.6,40.7,530,4.0,0.8
34,2,신도림,63.5,35.5,562,5.5,0.4
35,2,문래,50.9,37.2,522,4.2,0.7
36,2,영등포구청,76.6,51.0,597,4.0,0.8
37,2,합정,62.4,35.2,569,6.2,0.6
38,2,홍대입구,80.4,38.4,597,3.1,0.8
39,2,신촌,71.0,42.7,578,4.0,1.0
40,2,이대,87.8,55.1,523,5.8,1.2
41,2,아현,79.6,52.4,514,5.2,1.1
42,2,충정로,67.2,54.0,511,4.1,0.9
43,2,도림천,50.5,38.8,460,4.2,0.7
44,2,양천구청,52.4,40.4,459,4.6,0.8
45,2,신정네거리,52.3,42.1,472,3.6,0.7
46,2,신설동,42.5,38.5,516,6.4,3.1
47,2,용두,51.4,36.2,484,8.1,0.8
48,3,구파발,26.6,14.7,475,2.1,0.7
49,3,연신내,40.6,31.8,508,3.7,1.0
50,3,불광,28.5,18.2,529,4.8,0.9
51,3,녹번,47.0,32.0,521,7.4,1.0
52,3,홍제,36.7,24.1,559,7.8,1.3
53,3,무악재,34.4,25.2,543,6.1,1.4
54,3,독립문,47.4,28.1,483,3.2,0.8
55,3,경복궁,52.8,36.7,527,4.1,0.6
56,3,안국,47.6,33.1,521,3.7,0.4
57,3,종로3가,61.2,42.6,419,11.9,1.5
58,3,을지로3가,61.1,29.9,539,7.5,0.9
59,3,충무로,54.3,38.4,509,9.2,2.0
60,3,동대입구,58.6,37.9,509,11.1,2.0
61,3,약수,36.8,31.6,572,9.7,1.8
62,3,금호,48.6,35.4,525,9.9,1.1
63,3,압구정,39.0,29.0,657,9.1,3.3
64,3,신사,56.9,34.0,558,9.2,1.5
65,3,잠원,51.8,33.3,486,7.0,0.5
66,3,고속터미널,41.4,32.9,714,10.3,3.4
67,3,교대,58.5,35.7,656,8.3,3.8
68,3,남부터미널,54.8,33.9,528,7.6,0.6
69,3,양재,42.8,31.2,509,3.9,0.9
70,3,매봉,35.9,26.7,491,7.2,1.0
71,3,도곡,45.2,32.4,522,6.4,0.4
72,3,대치,40.1,29.7,515,7.1,1.3
73,3,학여울,30.8,21.6,463,5.3,0.6
74,3,대청,50.3,35.0,475,3.9,0.9
75,3,일원,23.9,19.5,468,5.8,0.4
76,3,수서,61.3,44.1,517,3.0,1.0
77,3,가락시장,46.8,30.9,509,3.6,0.6
78,3,경찰병원,77.7,47.4,587,3.9,0.9
79,3,오금,35.0,20.7,457,2.3,0.4
80,4,쌍문,68.4,46.4,453,11.6,1.3
81,4,수유,103.8,56.3,472,10.3,3.0
82,4,미아,81.2,45.8,447,12.8,2.1
83,4,미아사거리,72.6,36.0,441,11.6,0.4
84,4,길음,86.9,44.4,436,9.3,4.2
85,4,성신여대입구,82.9,48.9,469,8.5,1.8
86,4,한성대입구,53.7,44.1,433,8.7,0.6
87,4,혜화,65.3,33.2,468,6.7,3.5
88,4,동대문,83.6,49.0,492,10.9,2.0
89,4,동대문역사문화공원,63.2,37.8,467,12.0,1.3
90,4,충무로,54.0,36.2,607,10.4,5.1
91,4,명동,64.5,38.4,460,9.1,1.3
92,4,회현,40.5,26.4,465,12.2,3.0
94,4,숙대입구,51.2,27.5,423,6.1,1.2
95,4,삼각지,56.2,35.3,407,10.6,0.5
96,4,신용산,64.0,37.5,509,9.9,3.9
97,4,이촌,56.0,31.9,527,4.3,2.5
98,4,총신대입구,48.6,36.4,542,8.1,1.8
99,4,사당,47.7,41.2,494,5.8,0.7
100,4,남태령,53.5,29.9,506,6.5,6.1
101,5,방화,33.6,20.8,542,11.0,0.7
102,5,개화산,28.6,18.4,551,10.6,0.4
103,5,김포공항,30.5,20.8,543,8.6,0.4
104,5,송정,39.4,24.8,570,10.5,0.3
105,5,마곡,37.2,22.9,580,7.3,0.5
106,5,발산,44.0,27.6,585,6.9,0.3
107,5,우장산,34.8,22.0,556,6.7,0.5
108,5,화곡,40.2,25.4,610,6.8,0.4
109,5,까치산,50.8,31.1,620,9.4,0.7
110,5,신정,46.7,27.1,532,7.2,0.4
111,5,목동,46.6,27.7,554,6.8,0.6
112,5,오목교,33.2,22.4,560,7.0,0.4
113,5,양평,45.6,26.7,523,6.9,0.5
114,5,영등포구청,36.0,25.3,640,8.4,0.6
115,5,영등포시장,50.8,36.8,628,7.6,0.5
116,5,신길,37.0,24.2,628,9.1,0.7
117,5,여의도,57.5,32.1,852,9.4,0.9
118,5,여의나루,48.7,28.6,576,5.8,0.6
119,5,마포,39.5,25.6,637,8.2,0.6
120,5,공덕,42.2,28.4,644,6.3,0.7
121,5,애오개,48.1,30.9,614,9.0,0.7
122,5,충정로,27.8,19.0,629,6.7,0.6
123,5,서대문,67.7,38.4,669,7.3,0.6
124,5,광화문,75.0,35.5,596,8.1,0.8
125,5,종로3가,63.0,39.5,707,8.3,0.7
126,5,을지로4가,41.2,22.4,554,6.6,1.0
127,5,동대문역사문화공원,52.9,25.3,606,7.1,0.8
128,5,청구,41.9,19.2,566,5.7,0.8
129,5,신금호,59.6,33.9,588,6.9,0.7
130,5,행당,37.3,17.7,624,6.6,0.9
131,5,왕십리,44.8,33.1,695,8.2,0.7
132,5,마장,33.6,25.1,570,6.2,0.9
133,5,답십리,35.0,15.3,589,6.4,0.8
134,5,장한평,40.8,22.6,647,8.1,1.4
135,5,군자,43.3,21.3,643,9.5,0.9
136,5,아차산,34.7,21.7,539,11.6,1.0
137,5,광나루,30.8,19.4,511,10.7,0.7
138,5,천호,41.7,22.7,612,10.1,0.9
139,5,강동,51.0,35.2,580,7.3,0.8
140,5,길동,41.4,23.5,580,10.1,0.8
141,5,굽은다리,33.4,25.6,542,6.7,1.0
142,5,명일,40.7,29.1,544,7.7,0.9
143,5,고덕,35.5,22.6,503,7.2,1.2
144,5,상일동,44.0,32.1,532,6.5,1.0
145,5,둔촌동,43.5,31.0,576,7.9,1.5
146,5,올림픽공원,63.0,24.8,532,6.4,1.0
147,5,방이,36.8,20.5,548,7.4,1.2
148,5,오금,60.1,30.8,509,10.0,1.0
149,5,개롱,32.6,24.1,549,7.8,1.1
150,5,거여,42.2,31.0,550,7.1,1.1
151,5,마천,46.3,32.1,525,7.7,1.2
152,6,응암,44.2,27.9,600,12.1,1.0
153,6,역촌,36.9,20.7,600,11.4,1.2
154,6,불광,55.8,23.7,553,12.1,1.2
155,6,독바위,30.6,18.2,642,10.6,1.3
