연번,호선,역명,미세먼지,초미세먼지,이산화탄소,포름알데히드,일산화탄소,이산화질소,휘발성유기화합물,라돈
1,1,시청,54.6,27.9,490.0,5.1,0.6,0.03,26.1,35.36666667
2,1,종각,103.575,66.05,590.0,6.3,1.1,0.052,104.3,33.65
3,1,종로3가,58.8,39.2,491.0,6.6,0.9,0.042,32.5,25.4
4,1,종로5가,88.1,48.33333333,667.0,7.9,1.1,0.038,291.3,30.43333333
5,1,동대문,69.0,42.35,528.0,7.5,1.1,0.044,95.5,40.55
6,1,동묘앞,81.2,38.5,598.0,12.1,1.6,0.055,102.5,33.95
7,1,신설동,77.5,31.3,556.0,7.9,1.3,0.055,99.5,36.75
8,1,제기동,90.2,52.425,511.0,9.5,0.9,0.057,97.7,20.2
9,1,청량리,37.3,23.0,503.0,4.5,0.9,0.036,19.6,38.55
10,2,시청,73.1,45.4,635.0,5.2,0.2,0.031,41.4,53.03333333
11,2,을지로입구,59.6,34.9,472.0,5.3,0.3,0.033,93.1,42.33333333
12,2,을지로3가,38.5,26.3,700.0,5.6,0.3,0.036,142.5,40.8
13,2,을지로4가,62.5,46.1,720.0,26.4,0.9,0.044,56.1,48.95
14,2,동대문역사문화공원,64.3,36.3,853.0,5.6,1.0,0.046,52.3,49.35
15,2,신당,47.3,33.1,894.0,6.5,0.6,0.053,91.4,35.5
16,2,상왕십리,43.8,35.4,814.0,8.2,0.6,0.037,101.2,53.95
17,2,왕십리,37.1,26.8,809.0,7.7,0.3,0.044,70.2,51.75
18,2,잠실,70.4,43.0,554.0,8.8,0.9,0.041,142.7,43.43333333
19,2,잠실새내,34.9,26.8,825.0,6.2,0.3,0.042,177.5,50.6
20,2,종합운동장,62.3,44.6,439.0,10.9,0.8,0.036,64.5,30.2
21,2,삼성,78.5,39.6,664.0,9.3,0.7,0.038,163.5,23.55
22,2,선릉,78.6,41.1,637.0,7.7,0.9,0.042,125.2,40.9
23,2,역삼,64.5,44.2,659.0,8.8,0.9,0.045,172.2,40.0
24,2,강남,49.9,36.85,826.0,11.0,1.0,0.042,217.8,40.45
25,2,교대,37.5,26.8,555.0,6.9,0.5,0.04,173.2,40.85
26,2,서초,58.9,31.4,552.0,5.8,0.2,0.04,44.0,35.95
27,2,방배,38.2,27.7,445.0,2.0,0.5,0.024,37.6,49.6
28,2,사당,28.8,22.9,491.0,5.0,0.3,0.04,53.2,27.86666667
29,2,낙성대,73.5,37.1,484.0,2.7,0.4,0.03,44.2,33.7
30,2,서울대입구,44.3,30.7,496.0,2.9,0.3,0.027,55.1,35.85
31,2,봉천,51.2,35.5,457.0,5.2,0.5,0.033,76.9,41.85
32,2,신림,89.4,49.1,524.0,6.6,0.3,0.032,124.8,27.2
33,2,신도림,47.2,29.8,481.0,5.5,0.2,0.028,24.2,44.86666667
34,2,문래,28.2,13.7,509.0,7.3,0.6,0.033,27.4,26.65
35,2,영등포구청,41.4,24.5,504.0,5.7,0.3,0.03,24.2,36.8
36,2,합정,37.0,28.8,541.0,6.1,0.3,0.028,37.0,36.93333333
37,2,홍대입구,25.7,13.7,534.0,5.4,0.2,0.031,63.9,44.85
38,2,신촌,25.3,18.8,442.0,5.3,0.3,0.031,48.6,36.05
39,2,이대,31.4,25.4,443.0,4.3,0.2,0.032,35.3,40.1
40,2,아현,32.4,19.0,421.0,6.9,0.3,0.028,53.7,32.3
41,2,충정로,27.7,18.5,430.0,7.1,0.2,0.031,77.4,60.35
42,2,도림천,39.0,31.8,433.0,5.3,0.1,0.026,47.9,50.45
43,2,양천구청,37.8,29.3,405.0,5.2,0.3,0.032,67.0,34.9
44,2,신정네거리,44.6,32.1,513.0,5.5,0.5,0.027,58.2,48.85
45,2,신설동,57.7,40.7,701.0,6.8,0.7,0.033,24.6,47.3
46,2,용두,48.8,32.6,667.0,6.4,0.7,0.039,159.5,31.2
47,3,구파발,46.8,33.0,462.0,6.0,0.1,0.034,114.1,34.4
48,3,연신내,53.9,38.3,491.0,7.6,0.3,0.038,91.5,32.05
49,3,불광,63.8,44.4,527.0,7.6,0.5,0.035,221.8,34.55
50,3,녹번,44.7,32.9,509.0,7.8,0.2,0.035,50.6,55.85
51,3,홍제,51.4,30.1,558.0,6.4,0.4,0.036,92.0,46.15
52,3,무악재,64.5,40.5,498.0,6.3,0.5,0.035,57.0,48.0
53,3,독립문,53.1,32.2,488.0,4.8,0.1,0.032,36.4,30.15
54,3,경복궁,66.3,30.1,491.0,7.1,0.1,0.027,32.6,42.1
55,3,안국,42.8,30.4,448.0,7.9,0.3,0.034,42.2,35.53333333
