역명,총 승객수
가락시장,20740
가산디지털단지,41030
강남,113425
강남구청,16556
강동,21271
강동구청,12153
개롱,7191
개화산,6849
거여,7617
건대입구,111768
경복궁,33356
경찰병원,7070
고덕,9608
고려대,9616
고속터미널,162039
공덕,33528
공릉,15071
광나루,16459
광명사거리,36911
광화문,52177
광흥창,10182
교대,34157
구산,8470
구파발,26592
군자,31189
굽은다리,12653
금호,10388
길동,10164
길음,26996
김포공항,46502
까치산,38057
낙성대,35824
남구로,22041
남부터미널,40412
남성,12850
남태령,1787
남한산성입구,15118
내방,11586
노원,66652
녹번,13298
녹사평,13361
논현,14928
단대오거리,13931
답십리,18620
대림,79538
대청,9238
대치,14164
대흥,7817
도곡,11609
도림천,891
독립문,10969
독바위,3853
돌곶이,9929
동대문,62261
동대문역사문화공원,74147
동대입구,18414
동묘앞,40550
둔촌동,12946
디지털미디어시티,23041
마곡,5816
마들,12413
마장,7211
마천,6909
마포,11320
마포구청,13881
망원,18509
매봉,7716
먹골,12597
면목,19218
명동,97697
명일,10690
모란,35348
목동,19338
몽촌토성,12483
무악재,4763
문래,16138
문정,8729
미아,21819
미아사거리,42090
반포,6641
발산,17059
방배,18955
방이,8655
방화,8854
버티고개,2779
보라매,8407
보문,10748
복정,13443
봉천,27782
봉화산,9961
불광,36038
사가정,20354
사당,89078
산성,7713
삼각지,14676
삼성,106691
상도,12053
상봉,32466
상수,20552
상왕십리,15563
상월곡,7146
상일동,10958
새절,15785
서대문,12208
서울대입구,64303
서울,137657
서초,36228
석계,29894
석촌,15512
선릉,35697
성신여대입구,38177
송정,12585
송파,6184
수락산,18399
수서,37516
수유,54615
수진,8433
숙대입구,19748
숭실대입구,13870
시청,58210
신금호,7081
신길,14978
신당,30617
신대방삼거리,17925
신도림,87422
신림,99503
신사,39401
신설동,30975
신용산,17096
신정,14756
신정네거리,11864
신촌,80303
신풍,16075
신흥,7802
쌍문,40062
아차산,20256
아현,12667
안국,36125
안암,12179
암사,21298
압구정,36028
애오개,6759
약수,20566
양재,32660
양천구청,7620
양평,11146
어린이대공원,17813
여의나루,15700
여의도,27342
역삼,26963
역촌,5441
연신내,56779
영등포구청,20695
영등포시장,11872
오금,10160
오목교,32363
온수,19067
올림픽공원,6775
왕십리,58964
용두,2827
용마산,7729
우장산,16837
월곡,14069
월드컵경기장,11660
을지로3가,30298
을지로4가,13235
을지로입구,77013
응암,22616
이대,28692
이촌,21943
이태원,55608
일원,7779
잠실,260055
잠실새내,43154
잠원,6124
장승배기,13086
장지,27210
장한평,21104
제기동,28119
종각,85411
종로3가,90070
종로5가,30067
종합운동장,35906
중계,18007
중곡,12245
중화,13388
증산,13561
창신,3545
천왕,9573
천호,62708
철산,29191
청구,7800
청담,16219
청량리,78953
총신대입구,28495
충무로,29264
충정로,13808
태릉입구,16121
하계,24959
학동,14304
학여울,1742
한강진,14808
한성대입구,19742
합정,74347
행당,9343
혜화,78493
홍대입구,200393
홍제,23649
화곡,34732
화랑대,11187
회현,32638
효창공원앞,9529
