역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
서울,40.6,515,12.2,2.3,94615.0
시청,45.1,456,9.4,2.1,61239.0
종각,44.2,511,9.0,2.7,43635.0
동대문,91.9,471,13.7,1.9,43740.0
동묘앞,61.2,528,9.6,1.9,23061.0
신설동,96.5,558,9.2,2.7,29025.0
제기동,84.3,422,5.8,2.6,26078.0
청량리,34.9,447,8.3,2.6,52782.0
시청,83.6,514,6.2,0.4,61239.0
을지로입구,41.2,535,6.5,0.6,57238.0
동대문역사문화공원,51.2,464,3.2,0.6,41061.0
신당,52.2,493,5.8,0.5,30753.0
상왕십리,50.5,562,4.9,0.7,19694.0
왕십리,45.9,602,7.5,0.7,48556.0
잠실,62.4,510,7.4,0.7,114057.0
잠실새내,132.5,439,5.3,0.6,28747.0
종합운동장,51.4,591,3.9,0.3,14339.0
삼성,59.2,582,5.4,0.9,65077.0
선릉,82.8,483,5.5,0.7,90833.0
역삼,57.5,534,7.4,0.7,65855.0
강남,41.2,698,5.0,1.2,106889.0
교대,33.4,527,7.4,1.2,62184.0
서초,54.6,555,6.1,0.9,28035.0
방배,38.5,483,2.8,0.6,22195.0
사당,47.8,550,3.7,0.7,81068.0
낙성대,98.4,590,3.9,0.8,38959.0
서울대입구,65.0,471,4.1,0.7,66418.0
봉천,55.4,497,3.6,0.9,34819.0
신림,82.6,530,4.0,0.8,94241.0
신도림,63.5,562,5.5,0.4,77404.0
문래,50.9,522,4.2,0.7,31193.0
영등포구청,76.6,597,4.0,0.8,41447.0
합정,62.4,569,6.2,0.6,60153.0
홍대입구,80.4,597,3.1,0.8,77569.0
신촌,71.0,578,4.0,1.0,46956.0
이대,87.8,523,5.8,1.2,15583.0
아현,79.6,514,5.2,1.1,14323.0
충정로,67.2,511,4.1,0.9,21206.0
도림천,50.5,460,4.2,0.7,2484.0
양천구청,52.4,459,4.6,0.8,9615.0
신정네거리,52.3,472,3.6,0.7,14775.0
신설동,42.5,516,6.4,3.1,29025.0
용두,51.4,484,8.1,0.8,3749.0
구파발,26.6,475,2.1,0.7,28649.0
연신내,40.6,508,3.7,1.0,55395.0
불광,28.5,529,4.8,0.9,31681.0
녹번,47.0,521,7.4,1.0,20872.0
홍제,36.7,559,7.8,1.3,25059.0
무악재,34.4,543,6.1,1.4,5728.0
독립문,47.4,483,3.2,0.8,10102.0
경복궁,52.8,527,4.1,0.6,22741.0
안국,47.6,521,3.7,0.4,19689.0
충무로,54.3,509,9.2,2.0,39472.0
동대입구,58.6,509,11.1,2.0,9766.0
약수,36.8,572,9.7,1.8,23390.0
금호,48.6,525,9.9,1.1,11813.0
압구정,39.0,657,9.1,3.3,47588.0
신사,56.9,558,9.2,1.5,42575.0
잠원,51.8,486,7.0,0.5,6275.0
고속터미널,41.4,714,10.3,3.4,114095.0
교대,58.5,656,8.3,3.8,62184.0
남부터미널,54.8,528,7.6,0.6,42588.0
양재,42.8,509,3.9,0.9,52806.0
매봉,35.9,491,7.2,1.0,16579.0
도곡,45.2,522,6.4,0.4,15844.0
대치,40.1,515,7.1,1.3,14159.0
학여울,30.8,463,5.3,0.6,2321.0
대청,50.3,475,3.9,0.9,13630.0
일원,23.9,468,5.8,0.4,13302.0
수서,61.3,517,3.0,1.0,39666.0
가락시장,46.8,509,3.6,0.6,25630.0
경찰병원,77.7,587,3.9,0.9,10124.0
오금,35.0,457,2.3,0.4,12920.0
쌍문,68.4,453,11.6,1.3,43950.0
수유,103.8,472,10.3,3.0,53805.0
미아,81.2,447,12.8,2.1,22859.0
미아사거리,72.6,441,11.6,0.4,43381.0
길음,86.9,436,9.3,4.2,28393.0
성신여대입구,82.9,469,8.5,1.8,33437.0
한성대입구,53.7,433,8.7,0.6,18703.0
혜화,65.3,468,6.7,3.5,41240.0
동대문,83.6,492,10.9,2.0,43740.0
동대문역사문화공원,63.2,467,12.0,1.3,41061.0
충무로,54.0,607,10.4,5.1,39472.0
명동,64.5,460,9.1,1.3,25482.0
회현,40.5,465,12.2,3.0,34285.0
서울,73.2,473,5.9,3.6,94615.0
숙대입구,51.2,423,6.1,1.2,17467.0
삼각지,56.2,407,10.6,0.5,13714.0
신용산,64.0,509,9.9,3.9,21997.0
이촌,56.0,527,4.3,2.5,14197.0
총신대입구,48.6,542,8.1,1.8,28544.0
사당,47.7,494,5.8,0.7,81068.0
남태령,53.5,506,6.5,6.1,1403.0
방화,33.6,542,11.0,0.7,9410.0
개화산,28.6,551,10.6,0.4,7691.0
김포공항,30.5,543,8.6,0.4,38179.0
송정,39.4,570,10.5,0.3,9830.0
마곡,37.2,580,7.3,0.5,12993.0
발산,44.0,585,6.9,0.3,24274.0
우장산,34.8,556,6.7,0.5,20051.0
화곡,40.2,610,6.8,0.4,41699.0
까치산,50.8,620,9.4,0.7,43600.0
신정,46.7,532,7.2,0.4,19012.0
목동,46.6,554,6.8,0.6,25208.0
오목교,33.2,560,7.0,0.4,33500.0
양평,45.6,523,6.9,0.5,14309.0
영등포구청,36.0,640,8.4,0.6,41447.0
영등포시장,50.8,628,7.6,0.5,14219.0
신길,37.0,628,9.1,0.7,18274.0
여의도,57.5,852,9.4,0.9,66572.0
여의나루,48.7,576,5.8,0.6,8728.0
마포,39.5,637,8.2,0.6,20066.0
공덕,42.2,644,6.3,0.7,52984.0
애오개,48.1,614,9.0,0.7,9616.0
충정로,27.8,629,6.7,0.6,21206.0
서대문,67.7,669,7.3,0.6,25768.0
광화문,75.0,596,8.1,0.8,42278.0
동대문역사문화공원,52.9,606,7.1,0.8,41061.0
청구,41.9,566,5.7,0.8,11439.0
신금호,59.6,588,6.9,0.7,9225.0
행당,37.3,624,6.6,0.9,11209.0
왕십리,44.8,695,8.2,0.7,48556.0
마장,33.6,570,6.2,0.9,8389.0
답십리,35.0,589,6.4,0.8,23665.0
장한평,40.8,647,8.1,1.4,27040.0
군자,43.3,643,9.5,0.9,36590.0
아차산,34.7,539,11.6,1.0,20934.0
광나루,30.8,511,10.7,0.7,17154.0
천호,41.7,612,10.1,0.9,53314.0
강동,51.0,580,7.3,0.8,26805.0
길동,41.4,580,10.1,0.8,12304.0
굽은다리,33.4,542,6.7,1.0,13766.0
명일,40.7,544,7.7,0.9,11916.0
고덕,35.5,503,7.2,1.2,12444.0
상일동,44.0,532,6.5,1.0,21546.0
둔촌동,43.5,576,7.9,1.5,11926.0
올림픽공원,63.0,532,6.4,1.0,11598.0
방이,36.8,548,7.4,1.2,9411.0
오금,60.1,509,10.0,1.0,12920.0
개롱,32.6,549,7.8,1.1,8691.0
거여,42.2,550,7.1,1.1,10719.0
마천,46.3,525,7.7,1.2,8278.0
응암,44.2,600,12.1,1.0,26611.0
역촌,36.9,600,11.4,1.2,5951.0
불광,55.8,553,12.1,1.2,31681.0
독바위,30.6,642,10.6,1.3,4220.0
연신내,34.4,555,13.4,1.2,55395.0
구산,40.4,614,11.5,1.0,9810.0
새절,32.6,600,12.6,1.0,18295.0
증산,32.6,550,12.1,1.2,15293.0
디지털미디어시티,35.7,581,13.6,1.0,39309.0
월드컵경기장,36.5,613,6.7,1.0,6800.0
마포구청,45.6,611,8.6,1.0,19603.0
망원,40.1,601,6.1,1.2,21257.0
합정,42.5,614,11.8,1.2,60153.0
상수,31.0,638,13.1,1.3,11026.0
광흥창,38.5,599,12.7,1.2,11713.0
대흥,45.6,606,11.1,1.1,10894.0
공덕,40.2,613,13.0,1.1,52984.0
효창공원앞,68.4,611,12.5,1.3,14233.0
삼각지,54.9,581,14.9,1.1,13714.0
녹사평,42.6,622,12.6,1.1,6638.0
이태원,42.4,595,18.3,1.2,12941.0
한강진,42.2,602,12.1,1.3,9440.0
버티고개,53.2,615,11.2,1.1,3050.0
약수,51.1,649,14.5,1.3,23390.0
청구,47.7,603,10.5,0.9,11439.0
신당,40.5,617,15.5,1.1,30753.0
동묘앞,37.2,636,10.3,1.1,23061.0
창신,52.1,602,7.7,1.2,4468.0
보문,37.7,624,8.2,1.2,12684.0
안암,44.0,572,10.9,1.2,12580.0
고려대,45.7,607,8.9,1.4,10617.0
월곡,51.2,633,8.4,1.3,16303.0
상월곡,36.6,613,9.3,1.3,8531.0
돌곶이,41.6,636,20.3,1.3,12086.0
석계,46.1,605,10.3,1.1,31580.0
태릉입구,29.8,615,30.3,1.3,19196.0
화랑대,29.8,623,20.8,1.2,13667.0
봉화산,33.8,605,15.0,1.2,12793.0
수락산,85.8,644,6.7,0.5,18764.0
