고유역번호(외부역코드),역명,위도,경도,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
150,서울,37.55315,126.972533,39.9,27.3,566.0,11.5,0.7,129006.0
151,시청,37.56359,126.975407,83.5,34.9,545.0,12.0,0.7,60692.0
152,종각,37.570203,126.983116,110.0,58.0,500.0,12.2,0.7,45389.0
153,종로3가,37.570429,126.992095,96.0,44.6,507.0,10.3,0.8,90875.0
154,종로5가,37.570971,127.0019,73.2,37.6,525.0,8.1,0.7,41467.0
155,동대문,37.57179,127.011383,96.6,54.0,585.0,7.9,1.0,47352.0
159,동묘앞,37.573265,127.016459,34.3,22.4,457.0,4.7,0.5,35584.0
156,신설동,37.576117,127.02471,64.8,31.0,517.0,6.9,0.6,26371.0
157,제기동,37.578116,127.034902,71.0,36.2,442.0,4.2,0.5,32189.0
158,청량리,37.580148,127.045063,56.8,33.1,452.0,6.0,0.8,68855.0
202,을지로입구,37.565998,126.982569,54.4,35.3,474.0,6.9,0.5,68156.0
203,을지로3가,37.566292,126.991773,53.9,28.9,602.0,10.6,0.8,34048.0
204,을지로4가,37.566611,126.998122,54.9,30.4,461.0,9.4,0.9,24694.0
205,동대문역사문화공원,37.565597,127.009113,39.0,26.4,527.0,9.5,0.7,62298.0
206,신당,37.565681,127.019488,45.6,18.7,483.0,10.0,1.0,32109.0
207,상왕십리,37.564504,127.028872,59.3,30.9,466.0,8.3,0.6,16977.0
208,왕십리,37.561159,127.035505,35.1,20.3,490.0,8.8,0.6,55575.0
216,잠실,37.513305,127.100129,35.3,24.3,546.0,7.0,0.6,171903.0
217,잠실새내,37.520731,127.103738,34.1,20.2,439.0,5.4,0.5,33795.0
218,종합운동장,37.511008,127.073641,24.4,16.8,451.0,6.6,0.7,26047.0
219,삼성,37.508827,127.063203,25.7,16.2,495.0,6.5,0.7,62714.0
220,선릉,37.504257,127.048174,46.8,26.8,513.0,8.0,0.9,46262.0
221,역삼,37.500658,127.03643,25.4,17.8,524.0,8.9,1.0,31342.0
222,강남,37.497958,127.027539,32.9,20.5,610.0,12.2,0.8,94064.0
223,교대,37.493957,127.014631,36.1,25.8,505.0,9.3,1.1,38886.0
224,서초,37.49191,127.007945,50.1,28.5,467.0,9.2,1.0,18059.0
225,방배,37.481469,126.997627,47.0,27.7,510.0,10.7,0.9,16730.0
226,사당,37.476536,126.981631,45.6,32.7,507.0,8.4,0.9,91125.0
227,낙성대,37.47693,126.963783,65.3,28.0,463.0,9.5,1.0,35596.0
228,서울대입구,37.481233,126.952745,46.4,29.1,447.0,7.1,0.7,63460.0
229,봉천,37.482416,126.941896,51.9,21.6,431.0,7.5,0.8,30538.0
230,신림,37.484216,126.929573,67.6,40.9,529.0,10.1,0.7,88751.0
234,신도림,37.508815,126.891222,50.5,17.9,481.0,7.5,0.6,72891.0
235,문래,37.517993,126.894766,56.3,31.6,459.0,9.3,0.7,20594.0
236,영등포구청,37.525766,126.896627,46.4,28.1,435.0,8.4,0.7,23167.0
238,합정,37.550025,126.914557,35.4,19.6,528.0,9.8,0.8,75414.0
239,홍대입구,37.556748,126.923643,43.3,20.3,509.0,7.1,0.8,181157.0
240,신촌,37.555153,126.93689,33.0,24.1,441.0,8.1,0.9,61267.0
241,이대,37.556734,126.945897,61.6,27.3,444.0,6.6,0.8,19965.0
