역명,공기청정기_효용_상태,오염_청정기_비율,오염_점수,오염_등급,미세먼지,설치대수,총 승객수
서울,부족,4.58209506162158,73.31352098594527,2,86.9,16,137657.0
시청,과잉,2.9230621086565023,70.15349060775605,3,102.0,24,58210.0
종각,적합,3.7985859241314337,60.77737478610294,1,79.4,16,85411.0
동대문,적합,3.951036847974467,63.21658956759147,2,89.4,16,62261.0
동묘앞,과잉,2.3998900824233926,62.39714214300821,2,93.6,26,40550.0
신설동,과잉,2.8647443984751475,63.024376766453244,2,97.1,22,30975.0
제기동,적합,3.1772542539078272,63.545085078156546,2,98.7,20,28119.0
청량리,부족,4.703146175122295,65.84404645171213,2,89.5,14,78953.0
을지로입구,부족,4.0816030022495235,65.30564803599238,2,89.1,16,77013.0
동대문역사문화공원,부족,4.123201300823727,57.724818211532174,1,77.2,14,74147.0
신당,적합,3.2806651065571293,45.92931149179981,0,68.7,14,30617.0
상왕십리,적합,3.7195572365186487,52.07380131126108,1,82.8,14,15563.0
왕십리,적합,3.407192559693569,61.329466074484245,2,87.1,18,58964.0
잠실,적합,3.296923076923077,85.72,1,76.2,26,260055.0
잠실새내,적합,3.7448545499990384,59.917672799984615,2,88.8,16,43154.0
종합운동장,심각한 과잉,1.9586725610241789,54.84283170867701,1,82.2,28,35906.0
삼성,부족,4.472180610145656,62.61052854203918,1,77.0,14,106691.0
선릉,적합,3.418167791428736,54.69068466285977,1,82.0,16,35697.0
역삼,부족,4.054805466975393,56.76727653765549,2,87.7,14,26963.0
강남,적합,3.6233154717271345,72.4663094345427,2,91.7,20,113425.0
교대,적합,3.049690584684009,60.993811693680186,2,92.9,20,34157.0
서초,적합,3.813272480821365,61.01235969314184,2,92.4,16,36228.0
방배,부족,4.039681221280114,56.555537097921594,2,89.4,14,18955.0
사당,과잉,2.3047136439086606,69.14140931725981,2,92.4,30,89078.0
낙성대,부족,4.627872785152591,64.79021899213627,2,98.8,14,35824.0
서울대입구,부족,4.636476926584211,64.91067697217896,2,91.7,14,64303.0
봉천,부족,4.205232134960462,58.87324988944646,2,91.0,14,27782.0
신림,부족,4.193606459317366,75.48491626771259,3,100.3,18,99503.0
신도림,심각한 과잉,1.624667349214589,64.98669396858357,2,85.9,40,87422.0
문래,적합,3.496390258791409,55.942244140662545,2,89.1,16,16138.0
영등포구청,적합,3.442698299398204,55.083172790371265,2,86.5,16,20695.0
합정,과잉,2.5121377282616253,65.31558093480226,2,89.8,26,74347.0
홍대입구,심각한 부족,5.814512287235942,81.40317202130319,1,84.3,14,200393.0
신촌,부족,4.379406773841796,61.311694833785154,1,81.6,14,80303.0
이대,적합,3.7995157343089505,53.193220280325306,1,81.3,14,28692.0
아현,부족,4.009168362736454,56.12835707831036,2,90.3,14,12667.0
충정로,적합,3.4589911509103843,55.34385841456615,2,88.7,16,13808.0
용두,과잉,2.556741554671127,51.13483109342254,1,84.5,20,2827.0
도림천,적합,3.738360566583442,52.33704793216819,2,87.0,14,891.0
양천구청,적합,3.0517810975883304,54.93205975658995,2,89.6,18,7620.0
신정네거리,부족,4.017488910312928,56.244844744381,2,90.7,14,11864.0
구파발,부족,4.110729406142107,57.550211685989495,2,89.1,14,26592.0
연신내,부족,4.7680988087684755,66.75338332275865,2,96.7,14,56779.0
