Unnamed: 0,호선,역코드,역명,AIRPRESSURE,CO2,HUMIDITY,PM10,PM2.5,TEMPERATURE,호선명,역번호,설치대수,제조사,모델명,적용면적,처리용량,Purifier_Need,위도,경도
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.56359,126.975407
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.563534,126.975271
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.56359,126.975407
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.563534,126.975271
4,1,152,종각,95,190,89,276,265,250,1호선,152,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570203,126.983116
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.570429,126.992095
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.571537,126.991237
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.572546,126.990447
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.570429,126.992095
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.571537,126.991237
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.572546,126.990447
