Unnamed: 0,호선,역코드,역명,AIRPRESSURE,CO2,HUMIDITY,PM10,PM2.5,TEMPERATURE,호선명,역번호,설치대수,제조사,모델명,적용면적,처리용량,Purifier_Need
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
0,1,151,시청,18,153,7,241,183,252,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal
1,1,151,시청,18,153,7,241,183,252,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
2,2,201,시청,2,36,33,18,49,266,1호선,151,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal
3,2,201,시청,2,36,33,18,49,266,2호선,201,22,보성전자,BAS-ST9000A,197.4,25.6,Optimal
4,1,152,종각,95,190,89,276,265,250,1호선,152,16,보성전자,BAS-ST9000A,197.4,25.6,Optimal
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Additional Purifiers Needed
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
7,1,153,종로3가,126,137,25,251,244,125,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
8,3,319,종로3가,41,108,67,103,96,202,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Additional Purifiers Needed
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated
11,5,2535,종로3가,115,98,162,194,254,108,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated
11,5,2535,종로3가,115,98,162,194,254,108,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal
