역명,총 승객수
4.19민주묘지,3988
가능,9038
가락시장,22177
가산디지털단지,37006
가양,24940
가오리,5421
가좌,7312
가천대,8958
가평,3384
간석,7924
갈매,3075
강남,94064
강남구청,23427
강동,20656
강동구청,11473
강매,3246
강변(동서울터미널),48239
강일,6162
강촌,897
개롱,7770
개봉,30503
개포동,4812
개화,2230
개화산,7004
거여,11289
건대입구,90221
검암,7868
경기광주,10149
경마공원,1741
경복궁(정부서울청사),34139
경찰병원,7337
계양,13713
고덕,11714
고려대(종암),9542
고색,4847
고속터미널,146449
고잔,9961
곡산,636
곤지암,3772
공덕,38821
공릉(서울과학기술대),15406
공항시장,4132
공항화물청사,2328
과천,8329
관악,9973
관악산(서울대),4849
광나루(장신대),18517
광명,4557
광명사거리,32547
광운대,9928
광화문(세종문화회관),54973
광흥창(서강),9152
교대(법원.검찰청),38886
구로,23398
구로디지털단지,63493
구룡,2048
구리,18812
구반포,1013
구산,9154
구성,5897
구의(광진구청),29873
구일,7270
구파발,28337
국수,1131
국회의사당,8324
군자(능동),34436
군포,6985
굴봉산,338
굽은다리(강동구민회관앞),14211
금곡,1926
금릉,7420
금정,34422
금천구청,14945
금촌,10652
금호,10285
기흥,11850
길동,11937
길음,25820
김유정,794
김포공항,43504
까치산,39140
낙성대(강감찬),35596
남구로,16503
남동인더스파크,1463
남부터미널(예술의전당),36285
남성,13611
남영,11237
남위례,6902
남춘천,5077
남태령,1517
남한산성입구(성남법원.검찰청),15721
내방,13826
노들,5497
노량진,58027
노원,65274
녹번,17740
녹사평(용산구청),8737
녹양,6895
녹천,5438
논현,16624
능곡,4840
단대오거리,14767
달월,96
답십리,18879
당고개,13401
당곡,5687
당산,42639
당정,6908
대곡,2045
대공원,6241
대림(구로구청),53793
대모산입구,5316
대방,15200
대성리,892
대야미,6443
대청,10682
대치,18038
대화,14984
대흥(서강대앞),10621
덕계,4320
덕소,7979
덕정,7763
도곡,12496
도농,12346
도림천,1421
도봉,7853
도봉산,24578
도심,2617
도원,3886
도화,5754
독립문,10674
독바위,3725
독산,15568
돌곶이,11741
동대문,47352
동대문역사문화공원(DDP),62298
동대입구,15786
동두천,3262
동두천중앙,4656
동묘앞,35584
동암,24430
동인천,22675
동작(현충원),3953
두정,10336
둔촌동,11359
둔촌오륜,1021
등촌,12706
디지털미디어시티,26386
뚝섬,24618
뚝섬유원지,12211
마곡,10031
마곡나루(서울식물원),20802
마두,8960
마들,16277
마석,5659
마장,7820
마천,8834
마포,14434
마포구청,16033
